Appid,Game_title,Platform,Release_date,Price,original_price
1924010,Shapebreaker - Tower Defense Deckbuilder,['win'],"2 May, 2023",¥22.00,
2284510,イーシャの魔法図書室,['win'],"2 May, 2023",Free,
2390750,Doppa,['win'],"2 May, 2023",¥6.00,
2332960,Ed's world story,['win'],"2 May, 2023",¥18.00,
2386610,Wandering Skies,['win'],"2 May, 2023",Free,
2349670,RAM 1982,['win'],"2 May, 2023",¥15.00,
2331360,Pigeon Strike,['win'],"2 May, 2023",Free,
2388220,Criminal Archives: Alphabetic Murders DLC,['win'],"2 May, 2023",¥15.00,
2388070,Criminal Archives: Alphabetic Murders Collector's Edition,['win'],"2 May, 2023",¥29.00,
2382620,The Stoevi Curse,"['win', 'mac']","2 May, 2023",Free,
2395380,DUCKLYTE,"['win', 'mac', 'linux']","2 May, 2023",¥6.00,
2372880,As Crônicas de Mar Céu,['win'],"2 May, 2023",¥6.00,
1783930,Civatlas,['win'],"2 May, 2023",¥76.00,
2409760,Redfall Original Game Soundtrack,['music'],"2 May, 2023",¥21.00,¥42.00
1294810,Redfall,['win'],"2 May, 2023",¥104.50,¥209.00
1819240,Short Circuit,"['win', 'linux']","2 May, 2023",Free,
2349850,Lennod Jump Game,['win'],"2 May, 2023",Free,
2100560,Karl Marx and the Ring of Communism,['win'],"2 May, 2023",¥3.30,¥11.00
2380870,PieClicker,['win'],"2 May, 2023",¥11.00,
2382660,The Flying Feathers,['win'],"2 May, 2023",Free,
2376300,Cash Dash,['win'],"2 May, 2023",Free,
2091300,Raimodula,"['win', 'linux']","2 May, 2023",¥30.00,
2346540,Amulet of Iovar,['win'],"2 May, 2023",Free,
2385430,Light of Alariya OST,['music'],"2 May, 2023",Free,
1678440,cmd error,"['win', 'linux']","2 May, 2023",¥42.00,
2362520,Thesmophoria,['win'],"2 May, 2023",¥26.00,
2384940,Pixel Madness,['win'],"2 May, 2023",Free,
2395990,Paws of Coal Soundtrack,['music'],"2 May, 2023",¥11.00,
2368860,Paws of Coal,['win'],"2 May, 2023",¥22.00,
2284990,Oxygen Caliber,"['win', 'mac']","2 May, 2023",Free,
2220520,Zero-G-Racer : Drone FPV arcade game,['win'],"2 May, 2023",¥42.00,
2381810,The Paper Arcade,['win'],"2 May, 2023",¥42.00,
2283680,Joyride - Spring Outing,['win'],"2 May, 2023",Free,
2410410,Joyride - Summer Camp,['win'],"2 May, 2023",Free,
2410412,Joyride - Winter Camp,['win'],"2 May, 2023",Free,
2410411,Joyride - Autumn Outing,['win'],"2 May, 2023",Free,
2290200,Neon City Survivor,['win'],"2 May, 2023",¥22.00,
2247580,The Last Vagabonds,['win'],"2 May, 2023",¥6.00,
2246110,Q REMASTERED,['win'],"2 May, 2023",¥36.00,
1277920,Ethyrial: Echoes of Yore,['win'],"1 May, 2023",Free,
1673090,Vagabond,"['win', 'linux']","1 May, 2023",¥46.40,¥58.00
2340030,Hell Of A Racket,['win'],"1 May, 2023",Free,
2286260,Infinite Incantation,['win'],"1 May, 2023",Free,
2107580,Amazing Maze,['win'],"1 May, 2023",¥15.00,
2378460,午前五時にピアノを弾く,"['win', 'mac']","1 May, 2023",Free,
1515330,Monster Tribe,['win'],"1 May, 2023",¥76.00,
1906510,Arto,['win'],"1 May, 2023",¥76.00,
1682330,The Dead Await: Prologue,['win'],"1 May, 2023",Free,
2347930,Horde,['win'],"1 May, 2023",¥22.00,
2086140,RICE - Repetitive Indie Combat Experience™,['win'],"1 May, 2023",¥22.00,
2388930,Nox Archaist: Lord of Storms,"['win', 'mac']","1 May, 2023",¥33.00,
2266010,The Reacher,['win'],"1 May, 2023",¥22.00,
2256220,Follow me,['win'],"1 May, 2023",¥29.00,
1470390,City of Beats,['win'],"1 May, 2023",¥49.00,
2363670,Watchers of the Universe: I'm outta here!,['win'],"1 May, 2023",¥22.00,
2334990,Green New Deal Simulator,"['win', 'mac']","1 May, 2023",Free,
2094580,We. The Refugees: Ticket to Europe,['win'],"1 May, 2023",¥20.30,¥58.00
2395260,Midnight Shift,['win'],"1 May, 2023",¥10.04,
2328120,Tower Tactics: Celestial Dawn,['win'],"1 May, 2023",¥18.00,
2381230,simpliCity,['win'],"1 May, 2023",¥22.00,
2377520,2D Dogfight,['win'],"1 May, 2023",¥22.00,
2374900,Saucers Demo,['win'],"1 May, 2023",Free,
2399550,The Idiot's Tale Soundtrack,['music'],"1 May, 2023",¥22.00,
2106910,Gods Of Defense,['win'],"1 May, 2023",¥58.00,
1161060,GGG Expansion,"['win', 'mac', 'linux']","1 May, 2023",Free,
2334390,CUBERUN,['win'],"1 May, 2023",¥18.00,
2378640,The Great War 3032,['win'],"1 May, 2023",¥26.00,
2307150,BOM BOM BOMBIAN  ～ ボン ボン ボンビアン ～,['win'],"1 May, 2023",¥22.00,
2285500,Flora Domina,['win'],"1 May, 2023",Free,
2386460,Tree It,['win'],"1 May, 2023",¥20.00,
2386930,Nature is hungry,['win'],"1 May, 2023",Free,
2394810,ADDRESS1,['win'],"1 May, 2023",Free,
2365780,红与黑 Red&Black,['win'],"1 May, 2023",¥25.00,
2103020,Frightened,['win'],"1 May, 2023",¥22.00,
2386980,Aartform Curvy 3D 5,['win'],"1 May, 2023",¥336.00,
2272950,Deal & Wheeler,['win'],"1 May, 2023",¥30.00,
2396890,The Voyager Demo,['win'],"1 May, 2023",Free,
2372550,NonFullControl,['win'],"1 May, 2023",Free,
2320170,Medieval Coin Hunt,['win'],"30 Apr, 2023",¥11.00,
2394220,[Demo]Nine-Tailed Okitsune Tale,"['win', 'mac']","30 Apr, 2023",Free,
2361310,Goonya Monster - Additional Voice : Clione,['win'],"30 Apr, 2023",¥11.00,
2361301,Goonya Monster - Additional Voice : Orca,['win'],"30 Apr, 2023",¥11.00,
2361300,Goonya Monster - Additional Voice : Slug,['win'],"30 Apr, 2023",¥11.00,
2361290,Goonya Monster - Additional Voice : Anemone,['win'],"30 Apr, 2023",¥11.00,
2361312,Goonya Monster - Additional Character (Buster) : Slug,['win'],"30 Apr, 2023",¥15.00,
2361314,Goonya Monster - Additional Character (Buster) : Clione,['win'],"30 Apr, 2023",¥15.00,
2361313,Goonya Monster - Additional Character (Buster) : Orca,['win'],"30 Apr, 2023",¥15.00,
2361311,Goonya Monster - Additional Character (Buster) : Anemone,['win'],"30 Apr, 2023",¥15.00,
2374970,Pixel MilSword,['win'],"30 Apr, 2023",¥18.00,
2361940,Ninja Golf 2,['win'],"30 Apr, 2023",¥15.00,
2377990,渡灵师-Demon Subduing Master,['win'],"30 Apr, 2023",¥50.70,¥78.00
2409290,Sliding Swords Demo,['win'],"30 Apr, 2023",Free,
2128480,Staffer Case: A Supernatural Mystery Adventure,"['win', 'mac']","30 Apr, 2023",¥48.00,
2380780,Wyvia: Prologue,['win'],"30 Apr, 2023",Free,
2067240,灵境三国,['win'],"30 Apr, 2023",¥15.00,
2370680,Backrooms Project: The lost file,['win'],"30 Apr, 2023",¥42.00,
2385071,pWordle - Scenery Image Pack,['win'],"30 Apr, 2023",¥22.00,
2391100,Button VR Expeditions,"['win', 'group_separator']","30 Apr, 2023",¥22.00,
2375130,Sun Haven: Dreamy Pet Pack,"['win', 'mac']","30 Apr, 2023",¥12.60,¥18.00
2375140,Sun Haven: Spooky Pet Pack,"['win', 'mac']","30 Apr, 2023",¥12.60,¥18.00
2401500,Sun Haven: Sweet Mounts Pack,"['win', 'mac']","30 Apr, 2023",¥15.40,¥22.00
2401501,Sun Haven: Wicked Mounts Pack,"['win', 'mac']","30 Apr, 2023",¥15.40,¥22.00
2405790,Robots Invaders - Sci-fi Gun,['win'],"30 Apr, 2023",¥6.00,
2387010,Infested Lands,['win'],"30 Apr, 2023",¥42.00,
2313990,Robots - Invaders,['win'],"30 Apr, 2023",¥46.00,
2387020,Winter Stealth,['win'],"30 Apr, 2023",¥42.00,
2387030,BRAVE ADVENTURER,['win'],"30 Apr, 2023",¥42.00,
2315580,ICE FLAME,['win'],"30 Apr, 2023",¥46.00,
2378800,Goolems Demo,['win'],"30 Apr, 2023",Free,
2388020,Invasion: Family Ties,['win'],"30 Apr, 2023",Free,
2392150,"Jump Up, Jerry!","['win', 'mac', 'linux']","30 Apr, 2023",¥6.00,
2389240,G.O.P.O.T.A,['win'],"30 Apr, 2023",¥6.00,
2375770,Stellar Insurgency Demo,['win'],"30 Apr, 2023",Free,
2188690,朱鹭子的奇妙冒险,['win'],"30 Apr, 2023",¥25.00,
1176228,Pixel Puzzles Traditional Jigsaws Pack: Korea,['win'],"29 Apr, 2023",¥38.00,
2269330,AmazeVR Megan Thee Stallion VR Concert,"['win', 'group_separator']","29 Apr, 2023",Free,
2393360,Motordoom Demo,"['win', 'linux']","29 Apr, 2023",Free,
2391820,Yoko Redux: Dreams Level OST,['music'],"29 Apr, 2023",Free,
1673650,¡Arre Unicornio!,['win'],"29 Apr, 2023",¥15.00,
2401880,Mystery Chamber: Forever - Sneak Peek,['win'],"29 Apr, 2023",Free,
2325460,EZ2ON REBOOT : R - ENDLESS CIRCULATION,['win'],"29 Apr, 2023",¥92.04,¥118.00
2341030,Grim Tides - Old School RPG,['win'],"29 Apr, 2023",¥26.00,
1882550,MECH PUNK,['win'],"29 Apr, 2023",¥6.00,
2326210,Innkeeper's Basement,['win'],"29 Apr, 2023",¥29.00,
2396680,Madness Chambers,['win'],"29 Apr, 2023",¥15.00,
2336540,Don't Beg for Help,"['win', 'mac', 'linux']","29 Apr, 2023",¥6.00,
2372070,Bone Boy,"['win', 'mac']","29 Apr, 2023",Free,
2349310,私のリアルは充実しすぎている OP & ED,['music'],"29 Apr, 2023",Free,
2340810,Assassins of Darkness,['win'],"29 Apr, 2023",¥48.00,
2281160,KayserRotz,['win'],"29 Apr, 2023",¥26.00,
2409770,无名之鸡 Demo,['win'],"29 Apr, 2023",Free,
